#OTUID	taxonomy	confidence
Otu000328	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;uncultured_bacterium	1.0
Otu000329	Root;Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	1.0
Otu000330	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_4;uncultured_organism	0.9
Otu000331	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium]_coprostanoligenes_group;uncultured_bacterium	0.87
Otu000332	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	1.0
Otu000333	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.98
Otu000336	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.87
Otu000338	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;uncultured_bacterium	1.0
Otu000339	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000340	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	1.0
Otu000341	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	1.0
Otu000342	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae	1.0
Otu000343	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000345	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter_gracilis	0.98
Otu000346	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	0.84
Otu000347	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.92
Otu000351	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000353	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0.99
Otu000357	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000358	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_fermentum	1.0
Otu000359	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;Propionibacterium_acnes	1.0
Otu000360	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	1.0
Otu000361	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000362	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	1.0
Otu000363	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Castellaniella	1.0
Otu000365	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;uncultured_Cardiobacterium_sp.	0.87
Otu000366	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.91
Otu000367	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group	0.88
Otu000369	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;Corynebacterium_kroppenstedtii	1.0
Otu000370	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000376	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium_loti	0.83
Otu000378	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured;Mitsuokella_sp._oral_taxon_131_str._W9106	0.98
Otu000381	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	1.0
Otu000382	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Elizabethkingia;Elizabethkingia_meningoseptica	1.0
Otu000384	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus_luteus	0.97
Otu000386	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000387	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000388	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	1.0
Otu000391	Root;Bacteria;Firmicutes;Bacilli;Bacillales	1.0
Otu000393	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium	0.83
Otu000394	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;Corynebacterium_pseudodiphtheriticum	1.0
Otu000397	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;uncultured_organism	0.95
Otu000399	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;Brochothrix_thermosphacta	1.0
Otu000400	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter	0.97
Otu000401	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000402	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	1.0
Otu000403	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas_vesicularis	1.0
Otu000405	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides_merdae	1.0
Otu000406	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales	1.0
Otu000407	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.9
Otu000408	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;uncultured_bacterium	0.99
Otu000409	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;Flavonifractor_plautii	1.0
Otu000411	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	0.94
Otu000412	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;Desulfobulbus_sp._Dsb1	0.86
Otu000413	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1.0
Otu000414	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000415	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;uncultured_Veillonellaceae_bacterium	1.0
Otu000416	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium;uncultured_bacterium	0.91
Otu000418	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000422	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0.91
Otu000424	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;Clostridium_tertium	1.0
Otu000426	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.98
Otu000427	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000432	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000434	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-013;uncultured_bacterium	0.86
Otu000435	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	1.0
Otu000436	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.95
Otu000437	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	1.0
Otu000439	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	1.0
Otu000442	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella_catarrhalis	1.0
Otu000443	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;uncultured_methanogenic_archaeon	0.97
Otu000444	Root;Bacteria;Firmicutes;Bacilli;Bacillales	1.0
Otu000445	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter_alimentarius	0.96
Otu000446	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	1.0
Otu000447	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0.96
Otu000451	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	0.9
Otu000452	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema_2	1.0
Otu000453	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000456	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_gingivalis	0.8
Otu000457	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_sp.	1.0
Otu000460	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	0.97
Otu000461	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	1.0
Otu000463	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	1.0
Otu000464	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium	0.99
Otu000465	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.97
Otu000467	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3	0.86
Otu000469	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.82
Otu000471	Root;Bacteria;Firmicutes;Bacilli	1.0
Otu000472	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.99
Otu000473	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000475	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae	0.96
Otu000479	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter_calcoaceticus	0.99
Otu000486	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_granulosa	0.93
Otu000488	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;uncultured_bacterium	0.9
Otu000490	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.97
Otu000491	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000493	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000494	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	1.0
Otu000495	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.99
Otu000497	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.98
Otu000498	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_kaistensis	1.0
Otu000499	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;uncultured_organism	0.99
Otu000500	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium	1.0
Otu000501	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	0.86
Otu000502	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000503	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Phreatobacter;uncultured_bacterium	0.94
Otu000504	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000506	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.99
Otu000509	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	1.0
Otu000510	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-008;uncultured_bacterium	1.0
Otu000511	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;Clostridium_paraputrificum	0.99
Otu000512	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella_putrefaciens	0.97
Otu000513	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;Gluconobacter_frateurii	1.0
Otu000514	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000515	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	0.84
Otu000516	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000517	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1.0
Otu000518	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium_durum	0.86
Otu000521	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum	0.94
Otu000522	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000523	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.96
Otu000525	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	1.0
Otu000526	Root;Bacteria;Firmicutes;Bacilli	1.0
Otu000527	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	1.0
Otu000531	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	0.96
Otu000533	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.9
Otu000534	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	0.95
Otu000536	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000538	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	1.0
Otu000539	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas;uncultured_bacterium	0.87
Otu000542	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured	0.97
Otu000547	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;uncultured_bacterium	0.89
Otu000549	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	1.0
Otu000551	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000552	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000553	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	1.0
Otu000554	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.94
Otu000555	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium	0.98
Otu000556	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	1.0
Otu000558	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales	0.94
Otu000560	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000561	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	0.99
Otu000562	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	0.98
Otu000563	Root;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus;uncultured_bacterium	1.0
Otu000565	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000566	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	1.0
Otu000568	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.8
Otu000569	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000570	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3;uncultured_Selenomonas_sp.	0.81
Otu000572	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.99
Otu000573	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000575	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000578	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_stercoris_ATCC_43183	0.98
Otu000580	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.99
Otu000581	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3;unidentified	0.95
Otu000584	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_caccae	0.88
Otu000587	Root;Bacteria;Actinobacteria;Actinobacteria	1.0
Otu000588	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas	1.0
Otu000591	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.96
Otu000592	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	0.95
Otu000593	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Rothia_mucilaginosa_DY-18	0.81
Otu000594	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.99
Otu000595	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_georgiae	0.85
Otu000598	Root;Bacteria;Firmicutes;Bacilli	0.96
Otu000599	Root;Bacteria;Firmicutes;Bacilli;Bacillales	0.82
Otu000602	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.97
Otu000604	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.95
Otu000605	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.93
Otu000606	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_casei	1.0
Otu000607	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;uncultured;uncultured_rumen_bacterium	0.82
Otu000609	Root;Bacteria;Firmicutes;Bacilli	1.0
Otu000611	Root;Bacteria;Firmicutes;Bacilli;Bacillales	0.93
Otu000613	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria_oralis	0.98
Otu000614	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000616	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium_fuliginis	1.0
Otu000619	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_1;uncultured_organism	0.87
Otu000620	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1.0
Otu000621	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.99
Otu000626	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.92
Otu000627	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0.99
Otu000629	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	1.0
Otu000632	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured_Carnobacteriaceae_bacterium	0.83
Otu000633	Root;Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae	1.0
Otu000634	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	1.0
Otu000636	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000640	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas	0.99
Otu000645	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	0.97
Otu000646	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000647	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	0.99
Otu000649	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1.0
Otu000652	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.99
Otu000653	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;uncultured_organism	1.0
Otu000654	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000655	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.97
Otu000657	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.98
Otu000658	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_1;unidentified	0.96
Otu000659	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	1.0
Otu000660	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.89
Otu000661	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000662	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000664	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	1.0
Otu000675	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	1.0
Otu000677	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001	1.0
Otu000679	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	1.0
Otu000680	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio	1.0
Otu000681	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.98
Otu000683	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas	0.96
Otu000687	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;uncultured_bacterium	1.0
Otu000690	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.96
Otu000694	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	0.82
Otu000695	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured_bacterium	0.81
Otu000697	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;uncultured_organism	1.0
Otu000699	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	0.99
Otu000702	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000707	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia_hofstadii	0.85
Otu000708	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	0.88
Otu000709	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_gingivalis	0.91
Otu000711	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.99
Otu000713	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	1.0
Otu000716	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Rothia_aeria	0.94
Otu000717	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	1.0
Otu000718	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000720	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_animalis	0.87
Otu000721	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	1.0
Otu000722	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella	1.0
