Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_gene_included	gene_set
24	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.5	0.0	0.7220947864240547	0.7327574525745257	0.9058378500451673	0.028692176844391955	0.1837430636211126	0	61	['EG10091', 'EG10092', 'EG10489', 'EG11612', 'EG12254', 'EG10831', 'EG11165', 'EG12013', 'EG10205', 'EG10771', 'EG12341', 'EG11253', 'EG10652', 'EG10283', 'EG10740', 'G7312', 'G7329', 'G7917', 'G6487', 'EG11153', 'G6966', 'G6529', 'G7080', 'G6603', 'EG11405', 'EG12611', 'EG10379', 'G7043', 'EG10695', 'EG10566', 'G6673', 'EG10381', 'G6152', 'G0-10550', 'EG11652', 'G6486', 'G6990', 'G6644', 'EG10743', 'G7257', 'EG12044', 'EG10519', 'G7866', 'EG10576', 'G6552', 'EG12012', 'G7465', 'EG10739', 'EG10192', 'EG10586', 'G0-41', 'G7565', 'G7166', 'EG11897', 'G7056', 'EG11177', 'G7210', 'G7359', 'G6208', 'EG10982', 'EG10339']
25	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.6	0.0	0.7220947864240547	0.8319734804490901	0.8916650535552976	0.030477682400339975	0.1695702671312429	0	40	['EG10091', 'EG10282', 'EG12241', 'EG10092', 'EG12341', 'G6159', 'EG10205', 'EG12610', 'G7917', 'EG10890', 'EG10753', 'EG11165', 'EG10566', 'EG10220', 'EG10771', 'EG10283', 'G6487', 'EG11373', 'EG12013', 'G7921', 'EG11320', 'EG10732', 'G7866', 'EG10790', 'G0-41', 'EG10935', 'G6208', 'G7409', 'G6105', 'G7056', 'G6990', 'G6644', 'EG10489', 'EG12261', 'EG11692', 'G7311', 'EG10781', 'EG11897', 'EG10576', 'EG10661']
26	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.7	0.0	0.7220947864240547	0.7204348948251388	0.8959220544586397	0.03451948534272438	0.17382726803458504	0	27	['EG10091', 'G6972', 'EG12611', 'EG11165', 'G495', 'EG12013', 'G7043', 'EG10205', 'EG11806', 'G7565', 'G7716', 'G7917', 'EG10283', 'EG10771', 'G7064', 'G7921', 'EG10092', 'EG11253', 'G7236', 'G6886', 'EG11489', 'G7080', 'EG12341', 'G6276', 'G7303', 'G6644', 'EG10982']
27	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.8	0.0	0.7220947864240547	0.8105868499161182	0.8965301974448316	0.025868502653688074	0.17443541102077698	0	58	['EG10091', 'EG11165', 'EG12308', 'EG10258', 'EG10790', 'G6222', 'EG10757', 'G7716', 'EG11235', 'EG10283', 'G7917', 'EG10092', 'G6552', 'G6973', 'EG12433', 'EG10771', 'EG10205', 'G7668', 'G7329', 'EG10669', 'G7877', 'G6486', 'EG12403', 'EG10673', 'EG12341', 'EG10587', 'EG12013', 'EG12100', 'EG10566', 'G6664', 'G7312', 'G7109', 'G7866', 'EG10576', 'G7910', 'EG10890', 'G7921', 'G6644', 'EG11253', 'G6332', 'G6622', 'G7565', 'G7409', 'G6208', 'G6990', 'EG10739', 'G7594', 'EG10071', 'EG10489', 'G6487', 'EG11459', 'G0-41', 'G495', 'G6276', 'EG10652', 'G7013', 'EG10389', 'G6994']
28	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.9	0.0	0.7220947864240547	0.7659746418892761	0.9006323396567298	0.031120372336174568	0.17853755323267517	0	67	['EG10091', 'G7312', 'G6664', 'EG11165', 'EG10566', 'EG10283', 'EG12341', 'EG12013', 'EG10673', 'EG11405', 'EG10739', 'G6487', 'G7917', 'EG10205', 'EG10092', 'EG10652', 'EG10771', 'G7565', 'G6990', 'G7080', 'G7056', 'EG10379', 'EG10489', 'G7668', 'EG12433', 'G6190', 'G6486', 'EG10017', 'G6152', 'EG10576', 'G0-10473', 'G6552', 'EG10690', 'G6115', 'G6208', 'G6529', 'G7921', 'G7866', 'G7168', 'G6225', 'EG11806', 'G7043', 'EG12108', 'G6644', 'EG12611', 'EG10203', 'EG10660', 'M004', 'EG11253', 'EG10593', 'G7916', 'EG10890', 'G0-41', 'EG11531', 'EG10356', 'EG10982', 'EG12320', 'EG10661', 'EG12100', 'EG12868', 'EG12308', 'EG11612', 'G6701', 'G7220', 'EG10740', 'EG11210', 'EG12261']
29	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.91	0.0	0.7220947864240547	0.7944686411149826	0.904153761775713	0.02596404256012325	0.18205897535165838	0	21	['EG10091', 'EG12013', 'G6966', 'EG10092', 'EG10771', 'EG10283', 'G7921', 'EG12012', 'EG11253', 'EG10576', 'G0-41', 'G6486', 'EG10661', 'G7565', 'G6552', 'G6208', 'G6487', 'G7917', 'EG10757', 'EG10379', 'EG10489']
30	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.92	0.0	0.7220947864240547	0.7861853142340949	0.9064201832494515	0.02678081758611019	0.18432539682539684	0	40	['EG10091', 'EG10790', 'EG11165', 'EG10681', 'EG12341', 'EG10566', 'G6487', 'G7427', 'G7312', 'EG10283', 'EG12013', 'G7917', 'G7043', 'EG10092', 'EG10771', 'G7168', 'EG12217', 'G7921', 'G7267', 'G7465', 'G7668', 'EG12100', 'G6552', 'G6990', 'G6644', 'EG11806', 'EG12207', 'EG11253', 'EG10389', 'EG10489', 'EG10660', 'G7565', 'G0-41', 'G7866', 'EG11210', 'G7511', 'G6486', 'EG10017', 'EG10661', 'G6208']
31	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.93	0.0	0.7220947864240547	0.8144599303135889	0.910569105691057	0.026426896502823566	0.1884743192670023	0	11	['EG10091', 'EG11165', 'EG12341', 'G7924', 'EG12217', 'G7910', 'EG10283', 'EG10205', 'G7352', 'G0-41', 'G6487']
32	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.94	0.0	0.7220947864240547	0.8228981158859208	0.9117628081042713	0.02276828429249516	0.18966802168021668	0	3	['EG10091', 'G6208', 'EG10947']
33	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.95	0.0	0.7220947864240547	0.8230997548070719	0.8765534262485482	0.035414225838265805	0.15445863982449348	0	11	['EG10091', 'EG10283', 'G6159', 'EG12341', 'EG10771', 'G7917', 'G7168', 'EG10205', 'G6487', 'G7511', 'EG10576']
34	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.96	0.0	0.7220947864240547	0.8188975996902825	0.8866079494128274	0.03618715064057738	0.16451316298877272	0	4	['EG10091', 'G7917', 'EG10771', 'EG12013']
35	tree	{'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 0.382}	0.97	0.0	0.7220947864240547	0.7966447283520454	0.8806894437991999	0.03596054212093137	0.15859465737514522	0	17	['EG10091', 'EG12341', 'EG10283', 'EG10771', 'EG11165', 'G6208', 'EG10660', 'EG12013', 'G7642', 'EG10489', 'G7917', 'G6865', 'G6972', 'G7080', 'EG10092', 'G7910', 'G7921']
36	tree	{'min_samples_leaf': 1, 'max_features': 'log2', 'criterion': 'entropy'}	0.98	0.0	0.7220947864240547	0.8265566524712865	0.9072202864885792	0.02669131354651059	0.18512550006452455	0	56	['EG10091', 'EG10566', 'EG10771', 'EG11253', 'EG12013', 'G7917', 'G7921', 'EG10092', 'EG11069', 'G6644', 'G7565', 'G6486', 'EG10489', 'EG11806', 'EG12341', 'EG10660', 'G7080', 'G7866', 'G6990', 'EG11612', 'EG10356', 'EG10757', 'G6552', 'EG10661', 'EG10203', 'EG12611', 'G6208', 'EG10283', 'G6487', 'EG11165', 'EG12100', 'EG10947', 'EG10739', 'G7877', 'G0-10473', 'EG10576', 'G6673', 'G7910', 'EG10071', 'G6701', 'G7668', 'G7642', 'G7511', 'EG10982', 'G7409', 'G6664', 'G6152', 'EG11914', 'G0-41', 'G6972', 'EG11529', 'EG10205', 'EG12207', 'EG12261', 'G6966', 'EG10017']
37	tree	{'min_samples_leaf': 1, 'max_features': 'log2', 'criterion': 'entropy'}	0.99	0.0	0.7220947864240547	0.8098641760227127	0.9321702800361336	0.01930288353758923	0.2100754936120789	0	19	['EG10091', 'EG10092', 'EG12013', 'G6486', 'EG10661', 'G6487', 'G7917', 'G6644', 'EG11253', 'EG10566', 'EG11806', 'EG11612', 'G7866', 'EG10771', 'EG10489', 'G7565', 'EG12100', 'EG12341', 'G7080']
