Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_gene_included	gene_set
0	logistic	{'penalty': 'l1', 'C': 1.0}	0.0	0.0	0.8714285714285714	0.8714285714285714	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	8	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016']
1	logistic	{'penalty': 'l1', 'C': 1.0}	0.0	0.9	0.8714285714285714	0.8714285714285714	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	8	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016']
2	logistic	{'penalty': 'l1', 'C': 1.0}	0.0		0.8714285714285714	0.8714285714285714	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	8	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016']
3	logistic	{'penalty': 'l1', 'C': 1.0}	0.1	0.0	0.8714285714285714	0.8641534391534391	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	10	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'G6118', 'EG12016', 'EG11176']
4	logistic	{'penalty': 'l1', 'C': 1.0}	0.1	0.9	0.8714285714285714	0.8641534391534391	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	10	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'G6118', 'EG12016', 'EG11176']
5	logistic	{'penalty': 'l1', 'C': 1.0}	0.1		0.8714285714285714	0.8641534391534391	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	10	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'G6118', 'EG12016', 'EG11176']
6	logistic	{'penalty': 'l1', 'C': 1.0}	0.2	0.0	0.8714285714285714	0.8714285714285714	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	10	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'EG11176', 'G6942', 'G6118', 'EG12016']
7	logistic	{'penalty': 'l1', 'C': 1.0}	0.2	0.9	0.8714285714285714	0.8714285714285714	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	10	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'EG11176', 'G6942', 'G6118', 'EG12016']
8	logistic	{'penalty': 'l1', 'C': 1.0}	0.2		0.8714285714285714	0.8714285714285714	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	10	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'EG11176', 'G6942', 'G6118', 'EG12016']
9	logistic	{'penalty': 'l1', 'C': 1.0}	0.3	0.0	0.8714285714285714	0.8604497354497354	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	8	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016']
10	logistic	{'penalty': 'l1', 'C': 1.0}	0.3	0.9	0.8714285714285714	0.8604497354497354	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	8	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175', 'G6970', 'G6942', 'EG12016']
11	logistic	{'penalty': 'l1', 'C': 1.0}	0.3		0.8714285714285714	0.8604497354497354	0.9750000000000001	0.014402276306810657	0.10357142857142865	0	8	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016']
12	logistic	{'penalty': 'l2', 'C': 1.0}	0.4	0.0	0.8714285714285714	0.8346560846560847	0.974074074074074	0.019536301341866874	0.10264550264550254	0	41	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10119', 'EG10121', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG10120', 'EG11892', 'EG11891', 'EG10336', 'EG10747', 'G7289', 'EG10660', 'G7467', 'G6631', 'G6937']
13	logistic	{'penalty': 'l2', 'C': 1.0}	0.4	0.9	0.8714285714285714	0.8346560846560847	0.974074074074074	0.019536301341866874	0.10264550264550254	0	41	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10119', 'EG10121', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG10120', 'EG11892', 'EG11891', 'EG10336', 'EG10747', 'G7289', 'EG10660', 'G7467', 'G6631', 'G6937']
14	logistic	{'penalty': 'l2', 'C': 1.0}	0.4		0.8714285714285714	0.8346560846560847	0.974074074074074	0.019536301341866874	0.10264550264550254	0	41	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10119', 'EG10121', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG10120', 'EG11892', 'EG11891', 'EG10336', 'EG10747', 'G7289', 'EG10660', 'G7467', 'G6631', 'G6937']
15	logistic	{'penalty': 'l2', 'C': 1.0}	0.5	0.0	0.8714285714285714	0.8604497354497354	0.974074074074074	0.019536301341866874	0.10264550264550254	0	41	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'EG12016', 'G6942', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10119', 'EG10121', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG10120', 'EG11892', 'EG11891', 'EG10336', 'EG10747', 'G7289', 'G7467', 'EG10660', 'G6937', 'G6631']
16	logistic	{'penalty': 'l2', 'C': 1.0}	0.5	0.9	0.8714285714285714	0.8604497354497354	0.974074074074074	0.019536301341866874	0.10264550264550254	0	41	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175', 'G6970', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10121', 'EG10119', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10120', 'EG10278', 'EG11892', 'EG11891', 'EG10336', 'EG10747', 'G7289', 'G7467', 'EG10660', 'G6937', 'G6631']
17	logistic	{'penalty': 'l2', 'C': 1.0}	0.5		0.8714285714285714	0.8604497354497354	0.974074074074074	0.019536301341866874	0.10264550264550254	0	41	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'EG12016', 'G6942', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10119', 'EG10121', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG10120', 'EG11892', 'EG11891', 'EG10336', 'EG10747', 'G7289', 'G7467', 'EG10660', 'G6937', 'G6631']
18	logistic	{'C': 1.0, 'penalty': 'l2'}	0.6	0.0	0.8714285714285714	0.9022486772486773	0.9648148148148148	0.028324325393929893	0.09338624338624335	0	42	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10121', 'EG10119', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG11892', 'EG11891', 'EG10120', 'EG10336', 'EG10747', 'G7289', 'G7467', 'EG10660', 'G6937', 'G6601', 'G6631']
19	logistic	{'C': 1.0, 'penalty': 'l2'}	0.6	0.9	0.8714285714285714	0.9022486772486773	0.9690355940355941	0.019125801805696667	0.0976070226070227	0	5	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175']
20	logistic	{'C': 1.0, 'penalty': 'l2'}	0.6		0.8714285714285714	0.9022486772486773	0.9648148148148148	0.028324325393929893	0.09338624338624335	0	42	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10121', 'EG10119', 'EG10883', 'G6712', 'EG12318', 'G812', 'EG11353', 'G6115', 'G7490', 'EG10117', 'EG11378', 'EG10278', 'EG11892', 'EG11891', 'EG10120', 'EG10336', 'EG10747', 'G7289', 'G7467', 'EG10660', 'G6937', 'G6601', 'G6631']
21	logistic	{'C': 1.0, 'penalty': 'l2'}	0.7	0.0	0.8714285714285714	0.9195767195767195	0.9629629629629629	0.037037037037037035	0.09153439153439147	0	84	['EG11193', 'EG11806', 'EG10118', 'G6825', 'G6970', 'EG11175', 'G6942', 'EG12016', 'G6118', 'EG11176', 'EG11734', 'EG11188', 'EG11462', 'EG12061', 'G6603', 'G6117', 'EG10831', 'EG11492', 'EG10337', 'EG10121', 'EG10119', 'EG10883', 'G6712', 'EG12318', 'G812', 'G6115', 'EG11353', 'EG10117', 'G7490', 'EG11378', 'EG11891', 'EG11892', 'EG10278', 'EG10336', 'EG10120', 'EG10747', 'G7289', 'G7467', 'G6937', 'G6601', 'EG10660', 'G6941', 'G6116', 'G6631', 'EG11491', 'EG12076', 'EG10533', 'EG10841', 'RUVA', 'EG12009', 'G7545', 'EG11472', 'EG10882', 'G6943', 'G6780', 'G6933', 'EG11061', 'G8210', 'EG11357', 'G6180', 'G7083', 'EG11062', 'EG10655', 'G7015', 'G7417', 'G7228', 'G379', 'G7229', 'EG11766', 'EG11064', 'G6448', 'EG10481', 'RUVB', 'G7685', 'EG11753', 'EG12205', 'EG10065', 'G7797', 'G6940', 'G7506', 'EG11228', 'G0-16640', 'EG12075', 'EG11398']
22	logistic	{'C': 1.0, 'penalty': 'l2'}	0.7	0.9	0.8714285714285714	0.9195767195767195	0.9690355940355941	0.019125801805696667	0.0976070226070227	0	5	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175']
23	logistic	{'C': 1.0, 'penalty': 'l2'}	0.7		0.8714285714285714	0.9195767195767195	0.9690355940355941	0.019125801805696667	0.0976070226070227	0	5	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175']
24	logistic	{'penalty': 'l2', 'C': 1.0}	0.8	0.0	0.8714285714285714	0.9296296296296297	0.9690355940355941	0.019125801805696667	0.0976070226070227	0	5	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175']
25	logistic	{'penalty': 'l2', 'C': 1.0}	0.8	0.9	0.8714285714285714	0.9296296296296297	0.9690355940355941	0.019125801805696667	0.0976070226070227	0	5	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175']
26	logistic	{'penalty': 'l2', 'C': 1.0}	0.8		0.8714285714285714	0.9296296296296297	0.9690355940355941	0.019125801805696667	0.0976070226070227	0	5	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175']
27	logistic	{'C': 0.94736842105789465, 'penalty': 'l2'}	0.9	0.0	0.8714285714285714	0.9537037037037037	0.9722222222222222	0.02777777777777778	0.10079365079365077	0	72	['EG11193', 'EG11806', 'EG10118', 'G6825', 'EG11175', 'G6970', 'EG12016', 'EG11176', 'EG11734', 'G6942', 'G6118', 'EG11462', 'EG11188', 'EG12061', 'EG11492', 'EG10831', 'G6603', 'G6117', 'EG10883', 'EG10337', 'EG10121', 'EG10119', 'EG12318', 'G812', 'G6115', 'G6712', 'G7490', 'EG10278', 'EG11378', 'EG10747', 'EG11891', 'EG11892', 'EG11353', 'EG10336', 'EG10117', 'EG10660', 'G6937', 'G6941', 'G7467', 'G7289', 'G7545', 'EG11472', 'G6601', 'EG10120', 'EG11491', 'G6116', 'G6631', 'G6780', 'EG10533', 'G6943', 'EG10882', 'RUVA', 'EG12009', 'G7083', 'EG11357', 'EG10841', 'EG12076', 'G6933', 'G7015', 'EG11061', 'EG10065', 'G7417', 'G379', 'G7506', 'EG10655', 'EG11062', 'EG11064', 'G6940', 'EG11253', 'EG10661', 'EG11766', 'G8210']
