Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_gene_included	gene_set
0	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.0	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	75	['EG12061', 'EG10559', 'EG10118', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10119', 'EG10117', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG10593', 'EG12432', 'G6481', 'G7825', 'EG10573', 'EG11693', 'EG12081', 'EG10957', 'G7165', 'EG11931', 'EG12363', 'EG10811', 'G6529', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598', 'EG10863', 'EG12388', 'G6503', 'G7361', 'EG12034', 'EG11694', 'EG11471', 'G7622', 'G6150', 'G6943', 'EG10889', 'G6918', 'EG10303', 'G7735', 'EG13161', 'G7262', 'G6585', 'EG11310', 'EG11594', 'EG10712', 'EG12060', 'GB4478', 'G6982', 'G6302']
1	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.5	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10559', 'EG10118', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10119', 'EG10117', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG10593', 'EG12432', 'G6481', 'G7825', 'EG10573', 'EG11693', 'EG12081', 'EG10957', 'G7165', 'EG11931', 'EG12363', 'EG10811', 'G6529', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
2	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.6	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10559', 'EG10118', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10119', 'EG10117', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG10593', 'EG12432', 'G6481', 'G7825', 'EG10573', 'EG11693', 'EG12081', 'EG10957', 'G7165', 'EG11931', 'EG12363', 'EG10811', 'G6529', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
3	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.7	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10559', 'EG10118', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10119', 'EG10117', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG12432', 'EG10593', 'G6481', 'G7825', 'EG10573', 'EG11693', 'EG12081', 'EG10957', 'G7165', 'EG11931', 'EG12363', 'EG10811', 'G6529', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
4	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.8	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10118', 'EG10559', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG10121', 'G6201', 'EG11734', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG10119', 'EG11228', 'EG10117', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'G7263', 'EG12205', 'EG11374', 'EG11927', 'G7734', 'G6579', 'G7055', 'G7825', 'G6481', 'EG10593', 'EG12432', 'EG10573', 'EG11693', 'EG12081', 'EG10957', 'G7165', 'EG12363', 'G6529', 'EG10811', 'G6941', 'EG11931', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
5	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.9	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10118', 'EG10559', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG10119', 'EG10117', 'EG11228', 'EG11734', 'EG11287', 'G6709', 'EG11156', 'G6825', 'EG11911', 'EG12062', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G6579', 'G6481', 'EG12205', 'G7825', 'EG12432', 'EG10957', 'EG12081', 'EG11693', 'EG10573', 'EG10593', 'G7165', 'G7055', 'G6529', 'G6941', 'EG10811', 'EG12363', 'EG10527', 'EG11557', 'EG12235', 'EG11806', 'EG10188', 'EG11598', 'EG10655', 'G6503']
6	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0		0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10118', 'EG10559', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10119', 'EG10117', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG12432', 'EG10593', 'G6481', 'G7825', 'EG10573', 'EG11693', 'EG12081', 'EG10957', 'G7165', 'EG11931', 'EG12363', 'G6529', 'EG10811', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
7	logistic	{'C': 1.0, 'penalty': 'l2'}	0.1	0.0	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10118', 'EG10559', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10117', 'EG10119', 'G6825', 'EG11287', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG10593', 'EG12432', 'G7825', 'G6481', 'EG10573', 'EG12081', 'EG11693', 'EG10957', 'EG11931', 'G7165', 'EG12363', 'G6529', 'EG10811', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
8	logistic	{'C': 1.0, 'penalty': 'l2'}	0.1	0.6	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10118', 'EG10559', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10117', 'EG10119', 'G6825', 'EG11287', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG10593', 'EG12432', 'G7825', 'G6481', 'EG10573', 'EG12081', 'EG11693', 'EG10957', 'EG11931', 'G7165', 'EG12363', 'G6529', 'EG10811', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
9	logistic	{'C': 1.0, 'penalty': 'l2'}	0.1	0.7	0.769047619047619	0.769047619047619	1.0	0.0	0.23095238095238102	0	51	['EG12061', 'EG10118', 'EG10559', 'EG11908', 'EG10120', 'EG11399', 'G7545', 'EG11734', 'EG10121', 'G6201', 'EG11398', 'EG12129', 'EG10195', 'G6194', 'EG11228', 'EG10117', 'EG10119', 'EG11287', 'G6825', 'EG12062', 'EG11156', 'G6709', 'EG11911', 'EG12205', 'G7263', 'EG11374', 'EG11927', 'G7734', 'G7055', 'G6579', 'EG12432', 'EG10593', 'G7825', 'G6481', 'EG10573', 'EG12081', 'EG11693', 'EG10957', 'EG11931', 'G7165', 'EG12363', 'G6529', 'EG10811', 'G6941', 'EG10527', 'EG11557', 'EG11806', 'EG12235', 'EG10188', 'EG10655', 'EG11598']
