Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_edge_included	edge_set
0	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.0	0.7696078431372548	0.7696078431372548	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	12	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000068', 'Otu000101'})"", ""frozenset({'Otu000965', 'Otu000011'})""]"
1	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.3	0.7696078431372548	0.7696078431372548	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	11	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
2	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.4	0.7696078431372548	0.7696078431372548	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	11	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
3	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.5	0.7696078431372548	0.7696078431372548	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	11	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'Otu000965', 'Otu000011'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
4	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.6	0.7696078431372548	0.7696078431372548	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	10	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
5	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.7	0.7696078431372548	0.7696078431372548	0.9166666666666666	0.03605221670263971	0.1470588235294118	0	16	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000108', 'Otu000863'})"", ""frozenset({'Otu000068', 'Otu000101'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'Otu000122', 'Otu000638'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000148', 'Otu000965'})"", ""frozenset({'Otu000139', 'Otu000014'})"", ""frozenset({'Otu000204', 'Otu000965'})"", ""frozenset({'Otu000032', 'Otu000011'})""]"
6	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.8	0.7696078431372548	0.7696078431372548	0.9509803921568626	0.031882735170871555	0.18137254901960775	0	11	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000122', 'Otu000638'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000139', 'Otu000014'})"", ""frozenset({'Otu000068', 'Otu000101'})"", ""frozenset({'Otu000108', 'Otu000863'})""]"
7	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0	0.9	0.7696078431372548	0.7696078431372548	0.9117647058823529	0.04293828688216007	0.1421568627450981	0	12	"[""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000376', 'sobr'})"", ""frozenset({'Otu000088', 'Otu000020'})"", ""frozenset({'Otu000620', 'Otu000091'})"", ""frozenset({'Otu000068', 'Otu000101'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000108', 'Otu000863'})"", ""frozenset({'Otu000965', 'Otu000011'})"", ""frozenset({'Otu000281', 'Otu000069'})""]"
8	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.0		0.7696078431372548	0.7696078431372548	0.9264705882352942	0.03531762932455359	0.15686274509803932	0	10	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000108', 'Otu000863'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000068', 'Otu000101'})"", ""frozenset({'Otu000122', 'Otu000638'})""]"
9	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.0	0.7696078431372548	0.7794117647058824	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	12	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000965', 'Otu000011'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
10	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.3	0.7696078431372548	0.7794117647058824	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	12	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000965', 'Otu000011'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
11	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.4	0.7696078431372548	0.7794117647058824	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	12	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000965', 'Otu000011'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
12	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.5	0.7696078431372548	0.7794117647058824	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	12	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'Otu000965', 'Otu000011'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
13	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.6	0.7696078431372548	0.7794117647058824	0.9019607843137254	0.0434440556397645	0.13235294117647056	0	10	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000032', 'Otu000011'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
14	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.7	0.7696078431372548	0.7794117647058824	0.9313725490196078	0.03383289286292746	0.16176470588235292	0	15	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000068', 'Otu000101'})"", ""frozenset({'Otu000108', 'Otu000863'})"", ""frozenset({'Otu000325', 'Otu000281'})"", ""frozenset({'cryptosporidium', 'Otu000013'})"", ""frozenset({'Otu000122', 'Otu000638'})"", ""frozenset({'Otu000148', 'Otu000965'})"", ""frozenset({'Otu000139', 'Otu000014'})"", ""frozenset({'Otu000032', 'Otu000011'})""]"
15	logistic	{'penalty': 'l1', 'C': 0.7368421052894737}	0.1	0.8	0.7696078431372548	0.7794117647058824	0.9509803921568626	0.031882735170871555	0.18137254901960775	0	11	"[""frozenset({'igf1', 'Otu000166'})"", ""frozenset({'Otu000088', 'Otu000013'})"", ""frozenset({'Otu000030', 'Otu000073'})"", ""frozenset({'Otu000281', 'Otu000069'})"", ""frozenset({'Otu000025', 'Otu000151'})"", ""frozenset({'Otu000013', 'Otu000035'})"", ""frozenset({'Otu000122', 'Otu000638'})"", ""frozenset({'Otu000139', 'Otu000014'})"", ""frozenset({'Otu000027', 'Otu000638'})"", ""frozenset({'Otu000108', 'Otu000863'})"", ""frozenset({'Otu000068', 'Otu000101'})""]"
