Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_gene_included	gene_set
0	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.0	0.9727513227513227	0.9727513227513227	1.0	0.0	0.0272486772486773	0	109	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6190', 'G6284', 'EG11734', 'EG11399', 'G6281', 'EG10297', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG11629', 'G6822', 'G6713', 'EG12030', 'EG10449', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG11047', 'EG10121', 'G7055', 'EG10262', 'EG10561', 'EG10361', 'G6511', 'G6968', 'EG11943', 'G7565', 'EG11338', 'EG12272', 'EG10321', 'EG50009', 'EG12689', 'G6928', 'EG10386', 'EG10447', 'EG10422', 'G7542', 'EG12076', 'EG11017', 'EG10408', 'EG10648', 'G7346', 'EG11625', 'EG12287', 'EG10022', 'EG10489', 'G6886', 'EG12429', 'EG11160', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7554', 'G7734', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG11443', 'EG12117', 'EG11783', 'EG11857', 'EG11991', 'EG10712', 'EG10816', 'G6859', 'EG10871', 'EG10993', 'EG11751', 'EG10258', 'EG10700', 'G7616', 'G6891', 'G7240', 'EG11786', 'EG10637', 'EG10317', 'G7167', 'EG11876', 'EG11256', 'EG11325', 'G6660', 'EG11355', 'G7009', 'G7614', 'EG10464', 'G6176', 'G7395', 'G6605', 'EG10843']
1	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0	0.9	0.9727513227513227	0.9727513227513227	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6190', 'G6284', 'EG11734', 'EG11399', 'G6281', 'EG10297', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG11629', 'G6822', 'G6713', 'EG10449', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG11047', 'EG10121', 'G7055', 'EG10262', 'EG10561', 'EG10361', 'G6511', 'G6968', 'EG11943', 'G7565', 'EG11338', 'EG12272', 'EG10321', 'EG50009', 'EG12689', 'G6928', 'EG10386', 'EG10447', 'EG10422', 'G7542', 'EG12076', 'EG11017', 'EG10408', 'EG10648', 'G7346', 'EG11625', 'EG12287', 'EG10022', 'EG10489', 'G6886', 'EG12429', 'EG11160', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7554', 'G7734', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG11443', 'EG12117', 'EG11783', 'EG11857', 'EG11991', 'EG10712', 'EG10816', 'G6859', 'EG10871', 'EG10993', 'EG11751', 'EG10258', 'EG10700', 'G7616', 'G6891', 'G7240', 'EG11786', 'EG10637', 'EG10317', 'G7167', 'EG11876', 'EG11256', 'EG11325', 'G6660']
2	logistic	{'C': 1.0, 'penalty': 'l2'}	0.0		0.9727513227513227	0.9727513227513227	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6190', 'G6284', 'EG11734', 'EG11399', 'G6281', 'EG10297', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG11629', 'G6822', 'G6713', 'EG12030', 'EG10449', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG11047', 'EG10121', 'G7055', 'EG10262', 'EG10561', 'EG10361', 'G6511', 'G6968', 'EG11943', 'G7565', 'EG11338', 'EG12272', 'EG10321', 'EG50009', 'EG12689', 'G6928', 'EG10386', 'EG10447', 'EG10422', 'G7542', 'EG12076', 'EG11017', 'EG10408', 'EG10648', 'G7346', 'EG11625', 'EG12287', 'EG10022', 'EG10489', 'G6886', 'EG12429', 'EG11160', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7554', 'G7734', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG11443', 'EG12117', 'EG11783', 'EG11857', 'EG11991', 'EG10712', 'EG10816', 'G6859', 'EG10871', 'EG10993', 'EG11751', 'EG10258', 'EG10700', 'G7616', 'G6891', 'G7240', 'EG11786', 'EG10637', 'EG10317', 'G7167', 'EG11876', 'EG11256', 'EG11325', 'G6660']
3	logistic	{'C': 1.0, 'penalty': 'l2'}	0.1	0.0	0.9727513227513227	0.9787037037037036	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6190', 'G6284', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG11629', 'EG10449', 'G6822', 'G6713', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG11047', 'EG10121', 'G7055', 'EG10262', 'EG10361', 'EG10561', 'G6968', 'G6511', 'EG11943', 'G7565', 'EG12272', 'EG11338', 'EG10321', 'EG12689', 'EG50009', 'G6928', 'EG10386', 'EG10447', 'EG10422', 'EG10648', 'EG11017', 'EG10408', 'EG12076', 'G7542', 'G7346', 'EG11625', 'EG10022', 'EG12287', 'EG10489', 'G6886', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7554', 'G7734', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG12117', 'EG11443', 'EG11783', 'EG11857', 'EG11991', 'EG10712', 'G6859', 'EG10816', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'EG10700', 'G6891', 'G7616', 'G7240', 'EG10637', 'EG10317', 'EG11256', 'EG11876', 'EG11786', 'EG11325', 'G7167', 'G6660']
4	logistic	{'C': 1.0, 'penalty': 'l2'}	0.1	0.9	0.9727513227513227	0.9787037037037036	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6190', 'G6284', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG11629', 'EG10449', 'G6822', 'G6713', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG11047', 'EG10121', 'G7055', 'EG10262', 'EG10361', 'EG10561', 'G6968', 'G6511', 'EG11943', 'G7565', 'EG12272', 'EG11338', 'EG10321', 'EG12689', 'EG50009', 'G6928', 'EG10386', 'EG10447', 'EG10422', 'EG10648', 'EG11017', 'EG10408', 'EG12076', 'G7542', 'G7346', 'EG11625', 'EG10022', 'EG12287', 'EG10489', 'G6886', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7554', 'G7734', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG12117', 'EG11443', 'EG11783', 'EG11857', 'EG11991', 'EG10712', 'G6859', 'EG10816', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'EG10700', 'G6891', 'G7616', 'G7240', 'EG10637', 'EG10317', 'EG11256', 'EG11876', 'EG11786', 'EG11325', 'G7167', 'G6660']
5	logistic	{'C': 1.0, 'penalty': 'l2'}	0.1		0.9727513227513227	0.9787037037037036	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6190', 'G6284', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG11629', 'EG10449', 'G6822', 'G6713', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG11047', 'EG10121', 'G7055', 'EG10262', 'EG10361', 'EG10561', 'G6968', 'G6511', 'EG11943', 'G7565', 'EG12272', 'EG11338', 'EG10321', 'EG12689', 'EG50009', 'G6928', 'EG10386', 'EG10447', 'EG10422', 'EG10648', 'EG11017', 'EG10408', 'EG12076', 'G7542', 'G7346', 'EG11625', 'EG10022', 'EG12287', 'EG10489', 'G6886', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7554', 'G7734', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG12117', 'EG11443', 'EG11783', 'EG11857', 'EG11991', 'EG10712', 'G6859', 'EG10816', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'EG10700', 'G6891', 'G7616', 'G7240', 'EG10637', 'EG10317', 'EG11256', 'EG11876', 'EG11786', 'EG11325', 'G7167', 'G6660']
6	logistic	{'C': 1.0, 'penalty': 'l2'}	0.2	0.0	0.9727513227513227	0.9829365079365079	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6284', 'G6190', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG10449', 'EG11629', 'G6822', 'G6713', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG10121', 'EG11047', 'G7055', 'EG10262', 'EG10561', 'G6968', 'G6511', 'EG10361', 'EG11943', 'G7565', 'EG11338', 'EG12272', 'G6928', 'EG12689', 'EG10321', 'EG50009', 'EG10386', 'EG10447', 'EG10648', 'EG10422', 'EG11017', 'EG10408', 'EG12076', 'G7346', 'G7542', 'EG11625', 'EG12287', 'EG10022', 'EG10489', 'G6886', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7734', 'G7554', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG11443', 'EG11783', 'EG12117', 'EG11857', 'EG11991', 'G6859', 'EG10816', 'EG10712', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'G7240', 'G7616', 'EG10700', 'G6891', 'EG10317', 'EG10637', 'G7167', 'EG11786', 'EG11355', 'EG11256', 'EG11876', 'G6660']
7	logistic	{'C': 1.0, 'penalty': 'l2'}	0.2	0.9	0.9727513227513227	0.9829365079365079	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6284', 'G6190', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG10449', 'EG11629', 'G6822', 'G6713', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG10121', 'EG11047', 'EG10262', 'G7055', 'EG10561', 'G6968', 'G6511', 'EG10361', 'EG11943', 'G7565', 'EG11338', 'EG12272', 'G6928', 'EG12689', 'EG10321', 'EG50009', 'EG10386', 'EG10447', 'EG10648', 'EG10422', 'EG11017', 'EG10408', 'EG12076', 'G7346', 'G7542', 'EG11625', 'EG12287', 'EG10022', 'EG10489', 'G6886', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7734', 'G7554', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG11443', 'EG11783', 'EG12117', 'EG11857', 'EG11991', 'G6859', 'EG10816', 'EG10712', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'G7240', 'G7616', 'EG10700', 'G6891', 'EG10317', 'EG10637', 'G7167', 'EG11786', 'EG11355', 'EG11256', 'EG11876', 'G6660']
8	logistic	{'C': 1.0, 'penalty': 'l2'}	0.2		0.9727513227513227	0.9829365079365079	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6284', 'G6190', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG10449', 'EG11629', 'G6822', 'G6713', 'EG12030', 'EG12070', 'EG10120', 'EG10117', 'EG11820', 'G7166', 'EG10121', 'EG11047', 'G7055', 'EG10262', 'EG10561', 'G6968', 'G6511', 'EG10361', 'EG11943', 'G7565', 'EG11338', 'EG12272', 'G6928', 'EG12689', 'EG10321', 'EG50009', 'EG10386', 'EG10447', 'EG10648', 'EG10422', 'EG11017', 'EG10408', 'EG12076', 'G7346', 'G7542', 'EG11625', 'EG12287', 'EG10022', 'EG10489', 'G6886', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG10960', 'EG11108', 'EG10039', 'G7543', 'G7734', 'G7554', 'G6397', 'EG11630', 'G7574', 'EG12031', 'EG10701', 'EG11436', 'EG10576', 'EG11858', 'EG11471', 'EG11332', 'G6784', 'EG11443', 'EG11783', 'EG12117', 'EG11857', 'EG11991', 'G6859', 'EG10816', 'EG10712', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'G7240', 'G7616', 'EG10700', 'G6891', 'EG10317', 'EG10637', 'G7167', 'EG11786', 'EG11355', 'EG11256', 'EG11876', 'G6660']
9	logistic	{'C': 1.0, 'penalty': 'l2'}	0.3	0.0	0.9727513227513227	0.9931216931216932	1.0	0.0	0.0272486772486773	0	101	['EG10411', 'EG11241', 'EG12100', 'G6194', 'EG10593', 'EG10322', 'G6284', 'G6190', 'EG11734', 'EG11399', 'EG10297', 'G6281', 'EG10118', 'EG11398', 'G7080', 'EG10962', 'EG10449', 'G6822', 'EG11629', 'G6713', 'EG12030', 'EG10120', 'EG12070', 'EG10117', 'EG11820', 'EG10121', 'G7166', 'EG11047', 'G7055', 'EG10262', 'G6968', 'G6511', 'EG10561', 'EG10361', 'EG11943', 'G7565', 'EG12272', 'EG11338', 'EG10321', 'EG12689', 'EG10386', 'G6928', 'EG50009', 'EG10447', 'EG10422', 'EG11017', 'EG10408', 'G7542', 'G7346', 'EG12076', 'EG10648', 'EG12287', 'EG11625', 'EG10022', 'G6886', 'EG10489', 'EG11160', 'EG12429', 'EG10282', 'EG20080', 'EG11108', 'EG10960', 'EG10039', 'G7543', 'G7734', 'G6397', 'G7554', 'G7574', 'EG10701', 'EG11436', 'EG12031', 'EG11630', 'EG10576', 'EG11858', 'EG11332', 'EG11471', 'EG11443', 'G6784', 'EG11783', 'EG11857', 'EG11991', 'EG12117', 'EG10816', 'G6859', 'EG10712', 'EG10871', 'EG11751', 'EG10993', 'EG10258', 'G6891', 'EG10700', 'G7616', 'EG10637', 'EG10317', 'EG11355', 'G7240', 'G6176', 'EG11876', 'EG11786', 'EG11256', 'G7167']
